menu_id,restaurant_id,restaurant_name,menu_name,category,suggested_food_character,reviewed_food_character,review_status,warning,review_note
M001,C001,리코리코,닭고기 부리또,햄버거,quick-snack,quick-snack,reviewed,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,부리또는 손에 들고 빠르게 먹는 간편식 형태입니다.
M002,C001,리코리코,소고기 부리또,햄버거,quick-snack,quick-snack,reviewed,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,부리또는 손에 들고 빠르게 먹는 간편식 형태입니다.
M003,C001,리코리코,섞어 부리또,햄버거,quick-snack,quick-snack,reviewed,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,부리또는 손에 들고 빠르게 먹는 간편식 형태입니다.
M004,C001,리코리코,치킨텐더 부리또,햄버거,quick-snack,quick-snack,reviewed,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,부리또는 손에 들고 빠르게 먹는 간편식 형태입니다.
M005,C001,리코리코,제육 부리또,햄버거,quick-snack,quick-snack,reviewed,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,부리또는 손에 들고 빠르게 먹는 간편식 형태입니다.
M006,C002,달인의 찜닭,달인 순살 찜닭,찜/탕,main-dish,main-dish,reviewed,,찜닭 자체가 식사의 중심이 되는 메인 요리입니다.
M007,C002,달인의 찜닭,달인 치즈순살 찜닭,찜/탕,main-dish,main-dish,reviewed,,치즈 찜닭 자체가 식사의 중심이 되는 메인 요리입니다.
M008,C003,엄마손,두루치기,한식,main-dish,main-dish,reviewed,,두루치기는 고기 메인 요리가 중심인 식사입니다.
M009,C003,엄마손,된장찌개,한식,hot-soup,hot-soup,reviewed,,된장찌개는 면이 아닌 찌개 국물이 중심인 식사입니다.
M010,C003,엄마손,김치찌개,한식,hot-soup,hot-soup,reviewed,,김치찌개는 면이 아닌 찌개 국물이 중심인 식사입니다.
